,query,database
0,0,0
1,1,1
2,2,2
3,3,79
4,4,50
5,5,5
6,6,6
7,7,73
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,78
17,17,68
18,18,18
19,19,32
20,20,20
21,21,40
22,22,22
23,23,23
24,24,42
25,25,25
26,26,26
27,27,27
28,28,28
29,29,70
30,30,30
31,31,77
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,27
39,39,57
40,40,40
41,41,58
42,42,70
43,43,73
44,44,44
45,45,45
46,46,46
47,47,41
48,48,48
49,49,49
50,50,50
51,51,51
52,52,78
53,53,53
54,54,54
55,55,55
56,56,55
57,57,65
58,58,57
59,59,59
60,60,60
61,61,61
62,62,42
63,63,63
64,64,64
65,65,69
66,66,66
67,67,67
68,68,17
69,69,69
70,70,70
71,71,71
72,72,72
73,73,18
74,74,74
75,75,62
76,76,76
77,77,77
78,78,78
79,79,79
80,80,80
81,81,71
82,82,82
